Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.570882, 0.1795048
5, 25.58199, 0.03909
6, 244.6364, 0.0040877
7, 73.2649, 0.0136491
8, 72.7241, 0.0137506
9, 68.71719, 0.0145524
10, 75.32276, 0.0132762
11, 71.31243, 0.0140228
12, 71.07118, 0.0140704
13, 72.72357, 0.0137507
14, 70.50694, 0.014183
15, 72.89958, 0.0137175
16, 72.05234, 0.0138788
17, 72.39819, 0.0138125
18, 70.75989, 0.0141323
19, 72.27522, 0.013836
20, 72.32174, 0.0138271
21, 70.20254, 0.0142445
22, 73.35035, 0.0136332
23, 71.61169, 0.0139642
24, 71.62503, 0.0139616
25, 71.06563, 0.0140715
26, 24.02472, 0.0416238
27, 70.36109, 0.0142124
28, 72.90064, 0.0137173
29, 71.79936, 0.0139277
30, 71.19668, 0.0140456
31, 71.99787, 0.0138893
32, 72.73627, 0.0137483
33, 72.28671, 0.0138338
34, 71.12022, 0.0140607
35, 72.38352, 0.0138153
36, 71.13589, 0.0140576
37, 72.49371, 0.0137943
38, 70.69086, 0.0141461
39, 72.89108, 0.0137191
40, 71.42603, 0.0140005
41, 35.902, 0.0278536
42, 70.8652, 0.0141113
43, 71.40816, 0.014004
44, 72.69978, 0.0137552
45, 71.97196, 0.0138943
46, 72.40186, 0.0138118
47, 71.14349, 0.0140561
48, 72.32593, 0.0138263
49, 53.88396, 0.0185584
50, 69.38181, 0.014413
51, 24.75382, 0.0403978
52, 71.03333, 0.0140779
53, 71.84269, 0.0139193
54, 69.46423, 0.0143959
55, 68.37653, 0.0146249
56, 68.79472, 0.014536
57, 69.9286, 0.0143003
58, 69.94376, 0.0142972
59, 70.41808, 0.0142009
60, 23.6982, 0.0421973
61, 68.75971, 0.0145434
62, 71.12072, 0.0140606
63, 72.30711, 0.0138299
64, 69.92225, 0.0143016
65, 72.02898, 0.0138833
66, 70.22817, 0.0142393
67, 72.97565, 0.0137032
68, 70.75388, 0.0141335
69, 71.51541, 0.013983
70, 71.87419, 0.0139132
71, 56.24044, 0.0177808
72, 98.29652, 0.0101733
73, 71.54713, 0.0139768
74, 73.98693, 0.0135159
75, 70.84411, 0.0141155
76, 72.55578, 0.0137825
77, 70.52584, 0.0141792
78, 71.45971, 0.0139939
79, 72.90862, 0.0137158
80, 72.1355, 0.0138628
81, 69.82899, 0.0143207
82, 74.15922, 0.0134845
83, 35.52209, 0.0281515
84, 72.60635, 0.0137729
85, 62.48633, 0.0160035
86, 85.36794, 0.011714
87, 71.59888, 0.0139667
88, 72.0461, 0.01388
89, 71.79833, 0.0139279
90, 71.97144, 0.0138944
91, 70.85265, 0.0141138
