Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.537813, 0.1805767
5, 113.6493, 0.008799
6, 98.05844, 0.010198
7, 73.55537, 0.0135952
8, 71.624, 0.0139618
9, 71.08785, 0.0140671
10, 72.17351, 0.0138555
11, 71.09797, 0.0140651
12, 72.5463, 0.0137843
13, 72.94585, 0.0137088
14, 71.03837, 0.0140769
15, 72.70771, 0.0137537
16, 70.27505, 0.0142298
17, 73.08232, 0.0136832
18, 71.69949, 0.0139471
19, 72.34634, 0.0138224
20, 70.60651, 0.014163
21, 18.02867, 0.0554672
22, 71.49292, 0.0139874
23, 71.89538, 0.0139091
24, 71.82618, 0.0139225
25, 71.93882, 0.0139007
26, 71.96989, 0.0138947
27, 71.80142, 0.0139273
28, 71.9409, 0.0139003
29, 71.05149, 0.0140743
30, 72.35629, 0.0138205
31, 72.12769, 0.0138643
32, 71.40766, 0.0140041
33, 71.9559, 0.0138974
34, 71.70721, 0.0139456
35, 71.60144, 0.0139662
36, 72.38456, 0.0138151
37, 71.43367, 0.013999
38, 71.93417, 0.0139016
39, 71.32311, 0.0140207
40, 72.63747, 0.013767
41, 71.25857, 0.0140334
42, 72.32959, 0.0138256
43, 71.59273, 0.0139679
44, 71.72675, 0.0139418
45, 72.22563, 0.0138455
46, 3.682299, 0.2715695
47, 38.56939, 0.0259273
48, 24.32214, 0.0411148
49, 73.34389, 0.0136344
50, 74.2038, 0.0134764
51, 68.32281, 0.0146364
52, 67.2952, 0.0148599
53, 70.47763, 0.0141889
54, 70.35614, 0.0142134
55, 70.50793, 0.0141828
56, 69.78854, 0.014329
57, 35.50405, 0.0281658
58, 68.94982, 0.0145033
59, 71.11566, 0.0140616
60, 71.06815, 0.014071
61, 69.32841, 0.0144241
62, 72.7569, 0.0137444
63, 71.61682, 0.0139632
64, 70.55022, 0.0141743
65, 72.75055, 0.0137456
66, 71.9233, 0.0139037
67, 71.254, 0.0140343
68, 71.43827, 0.0139981
69, 59.05, 0.0169348
70, 14.67888, 0.0681251
71, 79.51401, 0.0125764
72, 62.55904, 0.0159849
73, 73.47809, 0.0136095
74, 80.58862, 0.0124087
75, 72.12093, 0.0138656
76, 72.17611, 0.013855
77, 71.58862, 0.0139687
78, 71.02424, 0.0140797
79, 71.6851, 0.0139499
80, 72.32541, 0.0138264
81, 71.9083, 0.0139066
82, 71.04392, 0.0140758
83, 72.32907, 0.0138257
84, 71.60554, 0.0139654
85, 71.14957, 0.0140549
86, 72.16361, 0.0138574
87, 70.95721, 0.014093
88, 72.45222, 0.0138022
89, 71.49138, 0.0139877
90, 70.6125, 0.0141618
91, 72.66492, 0.0137618
