Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 6.780774, 0.1474758
5, 31.36065, 0.0318871
6, 188.0052, 0.005319
7, 220.8188, 0.0045286
8, 184.1621, 0.00543
9, 208.8337, 0.0047885
10, 200.1241, 0.0049969
11, 228.744, 0.0043717
12, 196.0707, 0.0051002
13, 227.4485, 0.0043966
14, 212.9653, 0.0046956
15, 198.0002, 0.0050505
16, 216.9856, 0.0046086
17, 236.72, 0.0042244
18, 249.1964, 0.0040129
19, 221.7, 0.0045106
20, 228.8225, 0.0043702
21, 231.5887, 0.004318
22, 225.4893, 0.0044348
23, 211.6312, 0.0047252
24, 221.3614, 0.0045175
25, 226.7162, 0.0044108
26, 222.3408, 0.0044976
27, 232.2934, 0.0043049
28, 243.641, 0.0041044
29, 237.5128, 0.0042103
30, 202.1141, 0.0049477
31, 198.8981, 0.0050277
32, 247.9359, 0.0040333
33, 222.6031, 0.0044923
34, 219.1301, 0.0045635
35, 225.0478, 0.0044435
36, 216.4549, 0.0046199
37, 230.9309, 0.0043303
38, 215.7265, 0.0046355
39, 217.4102, 0.0045996
40, 232.2934, 0.0043049
41, 238.7889, 0.0041878
42, 243.9024, 0.0041
43, 224.2856, 0.0044586
44, 210.8681, 0.0047423
45, 215.8662, 0.0046325
46, 237.9083, 0.0042033
47, 239.0114, 0.0041839
48, 224.2504, 0.0044593
49, 221.7148, 0.0045103
50, 227.9566, 0.0043868
51, 243.8192, 0.0041014
52, 231.369, 0.0043221
53, 221.1704, 0.0045214
54, 241.914, 0.0041337
55, 249.8813, 0.0040019
56, 236.7368, 0.0042241
57, 227.941, 0.0043871
58, 26.57687, 0.0376267
59, 206.2408, 0.0048487
60, 210.6106, 0.0047481
61, 213.7848, 0.0046776
62, 220.8383, 0.0045282
63, 221.9312, 0.0045059
64, 200.06, 0.0049985
65, 234.2469, 0.004269
66, 242.9897, 0.0041154
67, 211.4925, 0.0047283
68, 214.6752, 0.0046582
69, 231.4654, 0.0043203
70, 224.6585, 0.0044512
71, 243.6766, 0.0041038
72, 215.7637, 0.0046347
73, 217.7795, 0.0045918
74, 239.8369, 0.0041695
75, 243.1966, 0.0041119
76, 222.0347, 0.0045038
77, 241.6802, 0.0041377
78, 247.0234, 0.0040482
79, 224.81, 0.0044482
80, 231.9056, 0.0043121
81, 217.8839, 0.0045896
82, 236.72, 0.0042244
83, 212.7388, 0.0047006
84, 208.3985, 0.0047985
85, 195.0763, 0.0051262
86, 248.9172, 0.0040174
87, 239.8829, 0.0041687
88, 229.6686, 0.0043541
89, 89.44785, 0.0111797
90, 127.1423, 0.0078652
91, 132.758, 0.0075325
92, 57.19875, 0.0174829
