Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.261604, 0.1900561
5, 30.28275, 0.0330221
6, 63.27472, 0.0158041
7, 70.79947, 0.0141244
8, 73.04495, 0.0136902
9, 71.20631, 0.0140437
10, 73.05402, 0.0136885
11, 71.61938, 0.0139627
12, 71.12376, 0.01406
13, 71.89951, 0.0139083
14, 69.08892, 0.0144741
15, 75.16988, 0.0133032
16, 72.26321, 0.0138383
17, 71.53485, 0.0139792
18, 71.50058, 0.0139859
19, 71.14703, 0.0140554
20, 73.36649, 0.0136302
21, 72.16986, 0.0138562
22, 71.65531, 0.0139557
23, 71.69281, 0.0139484
24, 23.77788, 0.0420559
25, 73.35088, 0.0136331
26, 71.88091, 0.0139119
27, 71.76072, 0.0139352
28, 70.52484, 0.0141794
29, 72.67706, 0.0137595
30, 72.21207, 0.0138481
31, 69.89146, 0.0143079
32, 73.75011, 0.0135593
33, 71.65993, 0.0139548
34, 72.05598, 0.0138781
35, 69.49078, 0.0143904
36, 73.46783, 0.0136114
37, 71.28701, 0.0140278
38, 72.97353, 0.0137036
39, 35.79969, 0.0279332
40, 71.5062, 0.0139848
41, 72.52052, 0.0137892
42, 72.38404, 0.0138152
43, 71.81999, 0.0139237
44, 71.45306, 0.0139952
45, 71.16576, 0.0140517
46, 71.57325, 0.0139717
47, 72.71511, 0.0137523
48, 54.07919, 0.0184914
49, 69.79341, 0.014328
50, 12.75242, 0.0784165
51, 56.36979, 0.01774
52, 21.12004, 0.0473484
53, 76.79902, 0.013021
54, 69.65147, 0.0143572
55, 74.80887, 0.0133674
56, 72.88683, 0.0137199
57, 71.34093, 0.0140172
58, 72.77332, 0.0137413
59, 72.54209, 0.0137851
60, 71.254, 0.0140343
61, 73.20055, 0.0136611
62, 71.73241, 0.0139407
63, 70.79446, 0.0141254
64, 72.01394, 0.0138862
65, 73.96121, 0.0135206
66, 71.48729, 0.0139885
67, 71.31498, 0.0140223
68, 72.64749, 0.0137651
69, 71.23268, 0.0140385
70, 72.83798, 0.0137291
71, 71.25197, 0.0140347
72, 67.64161, 0.0147838
73, 76.29685, 0.0131067
74, 70.06187, 0.0142731
75, 36.62923, 0.0273006
76, 71.39491, 0.0140066
77, 70.75088, 0.0141341
78, 72.39871, 0.0138124
79, 71.88608, 0.0139109
80, 72.11053, 0.0138676
81, 71.5149, 0.0139831
82, 71.08078, 0.0140685
83, 71.33125, 0.0140191
84, 71.47503, 0.0139909
85, 72.37514, 0.0138169
86, 72.36361, 0.0138191
87, 70.95923, 0.0140926
88, 71.64094, 0.0139585
89, 70.6554, 0.0141532
90, 72.52736, 0.0137879
91, 71.80091, 0.0139274
