Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.805023, 0.1722646
5, 22.08076, 0.0452883
6, 72.74368, 0.0137469
7, 72.99643, 0.0136993
8, 72.35052, 0.0138216
9, 70.90589, 0.0141032
10, 73.40204, 0.0136236
11, 71.0621, 0.0140722
12, 72.22042, 0.0138465
13, 70.60152, 0.014164
14, 73.42413, 0.0136195
15, 35.4849, 0.028181
16, 73.08018, 0.0136836
17, 71.81844, 0.013924
18, 72.00201, 0.0138885
19, 72.11469, 0.0138668
20, 70.99298, 0.0140859
21, 72.39243, 0.0138136
22, 71.15766, 0.0140533
23, 72.65013, 0.0137646
24, 71.35823, 0.0140138
25, 71.1607, 0.0140527
26, 72.73309, 0.0137489
27, 71.37606, 0.0140103
28, 70.64542, 0.0141552
29, 73.63228, 0.013581
30, 72.35366, 0.013821
31, 71.18198, 0.0140485
32, 72.14903, 0.0138602
33, 71.62093, 0.0139624
34, 16.97116, 0.0589235
35, 72.20529, 0.0138494
36, 71.54356, 0.0139775
37, 26.73261, 0.0374075
38, 65.93218, 0.0151671
39, 71.27533, 0.0140301
40, 72.59265, 0.0137755
41, 70.39279, 0.014206
42, 51.73386, 0.0193297
43, 66.424, 0.0150548
44, 72.21729, 0.0138471
45, 12.40619, 0.0806049
46, 65.86791, 0.0151819
47, 79.54501, 0.0125715
48, 69.95453, 0.014295
49, 67.66862, 0.0147779
50, 35.66893, 0.0280356
51, 57.77008, 0.01731
52, 84.64821, 0.0118136
53, 70.241, 0.0142367
54, 71.98335, 0.0138921
55, 71.45306, 0.0139952
56, 69.13573, 0.0144643
57, 57.40331, 0.0174206
58, 88.94581, 0.0112428
59, 74.07627, 0.0134996
60, 72.76855, 0.0137422
61, 71.48576, 0.0139888
62, 70.56914, 0.0141705
63, 71.56403, 0.0139735
64, 71.49854, 0.0139863
65, 72.45484, 0.0138017
66, 73.22253, 0.013657
67, 69.19745, 0.0144514
68, 74.59959, 0.0134049
69, 72.22198, 0.0138462
70, 71.38676, 0.0140082
71, 72.10429, 0.0138688
72, 71.53793, 0.0139786
73, 71.51388, 0.0139833
74, 71.28295, 0.0140286
75, 70.9401, 0.0140964
76, 72.41916, 0.0138085
77, 71.82463, 0.0139228
78, 70.93154, 0.0140981
79, 71.23674, 0.0140377
80, 35.76819, 0.0279578
81, 72.98311, 0.0137018
82, 71.59785, 0.0139669
83, 70.50446, 0.0141835
84, 70.20155, 0.0142447
85, 72.79186, 0.0137378
86, 70.61748, 0.0141608
87, 73.31808, 0.0136392
88, 71.59068, 0.0139683
89, 71.88711, 0.0139107
90, 71.37402, 0.0140107
91, 71.44286, 0.0139972
