Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 6.02577, 0.1659539
5, 66.35568, 0.0150703
6, 76.61544, 0.0130522
7, 87.09815, 0.0114813
8, 62.77267, 0.0159305
9, 86.00819, 0.0116268
10, 71.52974, 0.0139802
11, 62.57783, 0.0159801
12, 83.17115, 0.0120234
13, 73.59597, 0.0135877
14, 64.32192, 0.0155468
15, 80.49715, 0.0124228
16, 72.97725, 0.0137029
17, 63.00046, 0.0158729
18, 82.51711, 0.0121187
19, 72.70876, 0.0137535
20, 63.75356, 0.0156854
21, 18.49844, 0.0540586
22, 72.83056, 0.0137305
23, 64.12148, 0.0155954
24, 80.74348, 0.0123849
25, 71.43367, 0.013999
26, 73.32131, 0.0136386
27, 63.60838, 0.0157212
28, 79.4521, 0.0125862
29, 73.54671, 0.0135968
30, 64.23061, 0.0155689
31, 80.42206, 0.0124344
32, 71.63683, 0.0139593
33, 65.23583, 0.015329
34, 78.7005, 0.0127064
35, 74.57233, 0.0134098
36, 62.36358, 0.016035
37, 82.82328, 0.0120739
38, 72.53735, 0.013786
39, 64.24093, 0.0155664
40, 80.73631, 0.012386
41, 71.00054, 0.0140844
42, 74.01979, 0.0135099
43, 63.87654, 0.0156552
44, 80.70113, 0.0123914
45, 71.09594, 0.0140655
46, 72.78285, 0.0137395
47, 64.71445, 0.0154525
48, 81.1853, 0.0123175
49, 4.645633, 0.2152559
50, 75.2757, 0.0132845
51, 24.76572, 0.0403784
52, 78.15431, 0.0127952
53, 36.53168, 0.0273735
54, 57.99522, 0.0172428
55, 77.28035, 0.0129399
56, 72.34215, 0.0138232
57, 62.08674, 0.0161065
58, 78.05244, 0.0128119
59, 72.76379, 0.0137431
60, 63.34446, 0.0157867
61, 37.56292, 0.026622
