Time	Position
2023-11-12 01:04:10.449	(0.02, 0.68, 0.91)
2023-11-12 01:04:10.549	(0.02, 0.68, 0.91)
2023-11-12 01:04:10.772	(0.02, 0.68, 0.91)
2023-11-12 01:04:10.773	(0.02, 0.68, 0.91)
2023-11-12 01:04:10.851	(0.02, 0.68, 0.91)
2023-11-12 01:04:10.951	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.051	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.150	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.250	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.349	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.450	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.552	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.650	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.752	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.849	(0.02, 0.68, 0.91)
2023-11-12 01:04:11.950	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.052	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.152	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.250	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.355	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.452	(0.02, 0.68, 0.91)
2023-11-12 01:04:12.551	(0.02, 0.77, 0.91)
2023-11-12 01:04:12.650	(0.02, 1.27, 0.91)
2023-11-12 01:04:12.750	(0.02, 1.07, 0.91)
2023-11-12 01:04:12.852	(0.02, 0.78, 0.91)
2023-11-12 01:04:12.952	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.053	(0.03, 0.68, 0.91)
2023-11-12 01:04:13.151	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.250	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.349	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.450	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.580	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.650	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.752	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.849	(0.02, 0.68, 0.91)
2023-11-12 01:04:13.951	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.050	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.152	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.249	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.351	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.452	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.552	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.652	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.750	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.850	(0.02, 0.68, 0.91)
2023-11-12 01:04:14.949	(0.02, 0.68, 0.91)
2023-11-12 01:04:15.084	(0.03, 0.68, 0.91)
2023-11-12 01:04:15.152	(0.04, 1.12, 0.91)
2023-11-12 01:04:15.252	(-0.01, 1.79, 0.91)
2023-11-12 01:04:15.349	(-0.01, 1.61, 0.91)
2023-11-12 01:04:15.450	(-0.01, 1.24, 0.91)
2023-11-12 01:04:15.549	(-0.01, 0.77, 0.91)
2023-11-12 01:04:15.649	(-0.01, 0.68, 0.91)
2023-11-12 01:04:15.750	(-0.01, 0.68, 0.91)
2023-11-12 01:04:15.851	(-0.01, 0.68, 0.91)
2023-11-12 01:04:15.949	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.052	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.149	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.251	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.348	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.449	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.550	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.649	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.750	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.849	(-0.01, 0.68, 0.91)
2023-11-12 01:04:16.951	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.054	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.151	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.251	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.354	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.453	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.550	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.651	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.750	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.852	(-0.01, 0.68, 0.91)
2023-11-12 01:04:17.953	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.049	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.152	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.250	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.349	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.450	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.549	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.650	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.750	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.851	(-0.01, 0.68, 0.91)
2023-11-12 01:04:18.949	(-0.01, 1.22, 0.91)
2023-11-12 01:04:19.053	(-0.01, 2.06, 0.91)
2023-11-12 01:04:19.149	(-0.01, 1.82, 0.91)
2023-11-12 01:04:19.252	(-0.01, 1.49, 0.91)
2023-11-12 01:04:19.349	(-0.01, 1.06, 0.91)
2023-11-12 01:04:19.451	(-0.01, 0.67, 0.91)
2023-11-12 01:04:19.555	(-0.01, 0.68, 0.91)
2023-11-12 01:04:19.649	(-0.01, 0.68, 0.91)
2023-11-12 01:04:19.753	(-0.01, 0.68, 0.91)
2023-11-12 01:04:19.858	(-0.01, 0.68, 0.91)
2023-11-12 01:04:19.951	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.051	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.152	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.249	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.349	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.452	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.551	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.649	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.752	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.852	(-0.01, 0.68, 0.91)
2023-11-12 01:04:20.950	(-0.01, 0.68, 0.91)
2023-11-12 01:04:21.057	(-0.01, 0.68, 0.91)
2023-11-12 01:04:21.152	(-0.01, 0.68, 0.91)
