Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.517601, 0.1812382
5, 19.0316, 0.0525442
6, 102.1451, 0.00979
7, 71.01718, 0.0140811
8, 71.89331, 0.0139095
9, 71.01718, 0.0140811
10, 73.27027, 0.0136481
11, 71.7942, 0.0139287
12, 72.18705, 0.0138529
13, 70.1981, 0.0142454
14, 72.93095, 0.0137116
15, 35.86363, 0.0278834
16, 71.60861, 0.0139648
17, 72.20634, 0.0138492
18, 72.25956, 0.013839
19, 71.29311, 0.0140266
20, 72.69344, 0.0137564
21, 58.79275, 0.0170089
22, 71.02424, 0.0140797
23, 71.32922, 0.0140195
24, 51.92539, 0.0192584
25, 46.44833, 0.0215293
26, 85.27766, 0.0117264
27, 72.36099, 0.0138196
28, 72.39871, 0.0138124
29, 71.4781, 0.0139903
30, 72.58316, 0.0137773
31, 70.72586, 0.0141391
32, 72.70084, 0.013755
33, 17.8228, 0.0561079
34, 73.07324, 0.0136849
35, 72.01757, 0.0138855
36, 71.24892, 0.0140353
37, 72.10481, 0.0138687
38, 72.49949, 0.0137932
39, 72.1506, 0.0138599
40, 70.88579, 0.0141072
41, 73.19519, 0.0136621
42, 59.46399, 0.0168169
43, 90.75728, 0.0110184
44, 71.53383, 0.0139794
45, 71.61631, 0.0139633
46, 72.34529, 0.0138226
47, 37.11663, 0.0269421
48, 47.51022, 0.0210481
49, 8.830498, 0.1132439
50, 84.32059, 0.0118595
51, 110.9767, 0.0090109
52, 67.53563, 0.014807
53, 68.79661, 0.0145356
54, 69.75397, 0.0143361
55, 71.08735, 0.0140672
56, 69.10086, 0.0144716
57, 70.0187, 0.0142819
58, 69.61703, 0.0143643
59, 68.82312, 0.01453
60, 71.87316, 0.0139134
61, 72.79557, 0.0137371
62, 70.31904, 0.0142209
63, 70.86871, 0.0141106
64, 71.63324, 0.01396
65, 70.24001, 0.0142369
66, 72.43909, 0.0138047
67, 70.94865, 0.0140947
68, 71.39848, 0.0140059
69, 70.32942, 0.0142188
70, 72.64486, 0.0137656
71, 70.64642, 0.014155
72, 73.45703, 0.0136134
73, 67.3859, 0.0148399
74, 73.36327, 0.0136308
75, 70.98743, 0.014087
76, 71.82257, 0.0139232
77, 71.87419, 0.0139132
78, 17.93394, 0.0557602
79, 70.3918, 0.0142062
80, 77.79195, 0.0128548
81, 71.05907, 0.0140728
82, 71.39645, 0.0140063
83, 71.8267, 0.0139224
84, 70.47614, 0.0141892
85, 71.67739, 0.0139514
86, 71.45306, 0.0139952
87, 71.13185, 0.0140584
88, 71.80761, 0.0139261
89, 72.10065, 0.0138695
90, 70.09919, 0.0142655
91, 72.56683, 0.0137804
